"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_cart_remains_after_refresh","tests","2026-06-20","broken","2026-06-20","","test_add_to_card","",""
"","366","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","289","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","0","test_add_multiple_items_to_cart","tests","2026-06-20","broken","2026-06-20","","test_add_to_card","",""
"","542","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","240","test_scroll_to_element","tests","2026-06-20","broken","2026-06-20","","test_scroll","",""
"","403","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","0","test_add_all_items_to_cart","tests","2026-06-20","broken","2026-06-20","","test_add_to_card","",""
"","0","test_add_single_item_to_cart","tests","2026-06-20","broken","2026-06-20","","test_add_to_card","",""
"","366","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","0","test_remove_item_from_cart","tests","2026-06-20","broken","2026-06-20","","test_add_to_card","",""
"","204","test_add_item_without_login","tests","2026-06-20","passed","2026-06-20","","test_add_to_card","",""
"","307","test_hover_over_element","tests","2026-06-20","broken","2026-06-20","","test_hover","",""
"","5407","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
