"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","231","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","448","test_add_all_items_to_cart","tests","2026-06-20","failed","2026-06-20","","test_add_to_card","",""
"","237","test_remove_item_from_cart","tests","2026-06-20","passed","2026-06-20","","test_add_to_card","",""
"","0","test_hover_over_element","tests","2026-06-20","broken","2026-06-20","","test_hover","",""
"","4","test_scroll_to_element","tests","2026-06-20","broken","2026-06-20","","test_scroll","",""
"","370","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","200","test_add_item_without_login","tests","2026-06-20","passed","2026-06-20","","test_add_to_card","",""
"","279","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","335","test_add_multiple_items_to_cart","tests","2026-06-20","passed","2026-06-20","","test_add_to_card","",""
"","5392","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","476","test_cart_remains_after_refresh","tests","2026-06-20","passed","2026-06-20","","test_add_to_card","",""
"","168","test_add_single_item_to_cart","tests","2026-06-20","passed","2026-06-20","","test_add_to_card","",""
"","282","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","267","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
